Num_Children,Group,Income,Own_Car,Own_Housing,Target
5,0,80000,1,1,0
1,1,80000,0,0,1
2,1,80000,1,1,1
0,1,80000,0,0,1
0,0,79999,0,1,0
1,0,79999,0,1,0
0,0,79999,1,1,1
4,1,79999,1,1,1
2,1,79999,1,0,1
1,0,79999,1,1,1
2,0,79999,1,0,0
2,1,79999,1,0,1
3,0,79999,0,0,0
3,0,79998,1,0,0
2,1,79998,1,1,1
4,0,79998,0,1,0
2,0,79998,1,1,0
1,0,79998,1,0,0
2,0,79998,0,0,0
4,1,79998,0,0,1
4,0,79998,1,0,0
1,1,79998,1,0,1
1,1,79998,1,1,1
3,1,79998,1,1,1
0,0,79998,0,1,1
2,0,79998,1,0,0
3,1,79997,1,1,1
2,0,79997,1,0,0
2,0,79997,1,1,0
1,0,79997,1,0,0
1,0,79997,0,0,0
1,1,79997,1,1,1
2,1,79997,1,1,1
0,0,79997,1,1,1
3,1,79996,1,0,1
2,0,79996,0,0,0
1,1,79996,0,1,1
1,0,79996,1,0,0
0,0,79995,1,0,0
2,1,79995,1,1,1
4,1,79995,1,0,1
0,0,79995,1,0,0
3,0,79995,1,0,0
4,1,79995,1,0,1
1,0,79995,0,0,0
2,1,79995,1,1,1
3,1,79994,1,0,1
3,0,79994,1,1,1
4,0,79994,0,0,0
3,0,79994,1,0,0
1,1,79994,1,1,1
2,0,79994,1,1,0
4,0,79994,0,0,0
3,1,79994,1,1,1
0,0,79993,1,0,0
2,0,79993,1,0,0
1,1,79993,1,1,1
4,0,79993,1,0,0
2,0,79993,1,0,0
2,1,79993,1,1,1
3,1,79992,1,1,1
4,0,79992,1,0,0
2,0,79992,0,0,0
1,0,79992,1,0,0
2,0,79992,1,0,0
2,1,79992,1,1,1
5,1,79992,1,1,1
2,0,79992,1,0,0
3,0,79992,1,0,0
1,0,79992,0,0,0
0,0,79992,1,0,0
2,0,79992,1,0,0
3,0,79991,1,1,0
3,1,79991,1,1,1
2,1,79991,0,1,1
1,0,79991,1,1,1
1,0,79990,1,0,0
1,1,79990,1,0,1
1,1,79990,1,0,1
4,1,79990,1,0,1
5,1,79990,1,1,1
2,0,79990,0,0,0
1,0,79990,0,0,0
3,0,79990,0,0,0
2,1,79990,1,0,1
1,0,79990,0,0,0
2,0,79990,1,0,0
2,0,79989,1,0,0
1,0,79989,1,0,0
2,1,79989,0,1,1
1,1,79989,1,1,1
1,0,79988,1,0,0
2,0,79988,0,0,0
1,1,79988,1,1,1
1,1,79988,1,0,1
1,0,79987,0,0,0
3,1,79987,1,0,1
3,1,79987,1,1,1
2,1,79987,1,0,1
1,1,79987,0,1,1
4,0,79987,0,1,0
2,1,79986,1,0,1
3,1,79986,1,1,1
4,0,79986,1,0,0
3,1,79986,1,1,1
1,1,79986,1,1,1
3,1,79986,0,1,1
2,0,79986,0,0,0
2,1,79986,1,0,1
1,1,79985,1,1,1
1,0,79985,0,0,0
1,0,79985,0,0,0
4,0,79984,1,1,0
0,0,79984,1,0,0
1,1,79984,1,1,1
3,1,79983,1,0,1
5,1,79983,1,1,1
5,0,79983,1,1,1
1,1,79983,1,0,1
4,1,79983,1,0,1
2,1,79983,1,1,1
1,0,79983,1,0,0
1,0,79983,0,1,0
1,1,79983,1,0,1
1,0,79983,1,0,0
3,1,79983,1,0,1
2,1,79983,1,0,1
5,1,79982,1,0,0
1,0,79982,1,1,0
2,1,79982,1,0,1
2,0,79982,1,0,0
1,1,79982,1,1,1
6,0,79982,0,0,0
1,1,79982,1,0,1
4,0,79981,0,0,0
2,0,79981,1,1,0
3,0,79981,1,0,0
1,1,79981,1,1,1
0,1,79981,1,1,1
0,0,79981,1,0,0
1,0,79981,0,0,0
1,0,79981,1,1,1
1,1,79980,1,0,1
7,0,79980,0,0,0
2,0,79980,1,1,0
2,0,79980,1,0,0
0,1,79980,1,1,1
3,0,79980,0,0,0
1,0,79980,1,0,0
2,0,79980,1,0,0
2,0,79980,0,1,0
3,0,79979,0,0,0
1,0,79979,1,1,1
2,1,79979,1,0,1
1,1,79979,1,1,1
3,1,79979,1,0,1
1,1,79979,0,0,1
1,1,79979,1,1,1
1,1,79978,0,1,1
1,1,79978,0,1,1
1,1,79978,1,1,1
3,0,79978,1,0,0
3,0,79978,1,0,0
1,0,79978,1,0,0
4,0,79978,0,1,0
0,0,79978,0,0,0
1,1,79977,0,0,0
0,0,79977,0,0,0
3,1,79977,1,0,0
2,1,79977,0,0,1
0,0,79976,0,1,0
2,0,79976,0,1,0
1,1,79976,1,0,1
4,1,79976,1,0,1
3,1,79976,1,1,1
1,1,79976,1,1,1
2,0,79976,0,1,0
3,0,79976,0,0,0
1,0,79976,0,1,1
2,1,79976,1,0,1
5,0,79976,1,0,0
2,0,79976,0,0,0
2,1,79976,0,0,0
0,0,79975,0,0,0
2,1,79975,1,0,1
6,0,79975,0,0,0
4,1,79975,1,0,1
1,1,79975,1,1,1
3,1,79975,0,0,1
1,1,79975,0,0,0
1,1,79974,1,0,1
1,0,79974,0,0,0
3,1,79974,1,1,1
1,0,79974,1,0,0
0,1,79974,1,0,1
0,0,79974,1,0,0
1,1,79974,0,1,1
1,1,79974,1,1,1
0,1,79973,1,1,1
2,1,79973,0,1,1
2,1,79973,1,0,1
0,0,79973,1,0,0
0,1,79973,1,1,1
1,0,79973,1,0,0
3,1,79972,1,0,0
0,1,79972,0,1,1
4,1,79972,1,1,1
3,0,79972,1,1,0
1,0,79972,0,0,0
0,1,79972,1,1,1
1,0,79972,0,0,0
1,0,79972,1,0,0
4,0,79971,0,1,0
4,1,79971,0,1,1
1,0,79971,1,0,0
3,0,79971,1,0,0
1,1,79971,1,0,0
3,1,79971,1,1,1
2,0,79971,0,0,0
1,1,79970,1,1,1
1,0,79970,1,0,0
4,0,79970,1,0,0
2,1,79970,1,0,1
0,0,79970,0,1,0
2,0,79970,1,0,0
0,1,79969,1,0,1
3,0,79969,0,1,0
1,0,79969,1,0,0
3,1,79969,1,0,1
5,1,79969,1,1,1
3,0,79969,1,0,0
2,0,79969,1,0,0
2,0,79969,0,0,0
4,0,79968,0,1,0
2,1,79968,1,1,1
3,1,79968,1,1,1
0,0,79968,1,0,0
0,0,79968,0,1,0
2,1,79968,1,0,1
2,0,79967,0,0,0
4,1,79967,1,1,1
0,0,79967,1,0,0
1,1,79967,1,0,1
6,0,79966,0,0,0
3,0,79966,0,0,0
2,1,79966,1,0,1
0,1,79966,1,0,1
3,1,79966,1,1,1
5,1,79966,0,0,1
2,1,79965,1,1,1
4,0,79965,1,0,0
1,1,79965,1,1,1
4,0,79965,1,0,0
4,1,79965,0,1,1
1,0,79964,1,0,0
2,1,79964,1,1,1
1,0,79964,1,0,0
1,0,79963,1,1,0
3,0,79963,0,0,0
2,1,79963,1,0,1
0,1,79963,1,0,1
0,1,79963,1,1,1
6,0,79963,1,0,0
