Num_Children;Group;Income;Own_Car;Own_Housing;Target
1;0;80001;1;0;0
1;1;80001;1;0;1
2;0;80001;1;0;0
3;0;80001;1;1;0
3;0;80001;1;1;0
1;0;80001;0;1;0
1;1;80002;1;1;1
5;1;80002;1;1;1
4;1;80002;1;1;1
3;0;80002;1;0;0
2;0;80003;0;0;0
4;0;80003;1;0;0
1;1;80003;1;1;1
2;0;80004;1;1;1
2;1;80004;1;1;1
1;1;80004;1;1;1
2;1;80004;1;0;1
1;1;80004;0;0;0
1;1;80004;1;1;1
2;1;80004;1;0;1
1;1;80005;0;1;1
0;0;80005;1;0;0
2;1;80005;0;1;1
4;1;80005;1;0;1
1;0;80005;1;0;0
3;1;80005;1;0;1
2;1;80005;1;0;1
1;1;80006;1;1;1
2;1;80006;1;0;0
2;0;80006;1;0;0
1;0;80006;0;0;0
2;0;80007;1;1;1
3;0;80007;1;0;0
1;0;80007;1;0;0
2;1;80007;0;1;1
4;1;80008;0;0;0
2;0;80008;1;1;1
1;1;80008;1;0;1
2;0;80008;1;0;0
6;0;80008;1;0;0
3;0;80009;0;0;0
2;0;80009;0;0;0
1;1;80009;1;1;1
2;0;80009;1;0;0
1;0;80009;0;1;0
1;1;80009;1;0;1
5;0;80009;0;0;0
2;0;80010;0;0;0
0;1;80010;1;1;1
1;0;80010;1;0;0
2;0;80010;1;0;0
1;1;80010;1;1;1
3;1;80010;1;0;0
1;0;80010;0;1;0
2;0;80010;1;0;0
0;1;80011;1;0;1
3;1;80011;1;0;1
1;1;80011;1;0;1
2;0;80011;1;0;0
3;1;80011;0;1;1
0;0;80011;1;0;0
1;1;80011;1;1;1
2;0;80011;1;1;1
0;1;80012;1;1;1
1;1;80012;1;1;1
1;0;80012;0;0;0
3;0;80012;0;0;0
3;0;80012;0;0;0
2;1;80012;1;0;0
2;0;80012;1;0;0
4;0;80013;0;0;0
1;0;80013;0;0;0
4;1;80013;1;1;1
4;0;80013;1;1;1
1;0;80013;0;0;0
2;1;80013;1;1;1
1;0;80013;1;0;0
0;0;80013;1;0;0
1;0;80013;1;0;0
2;0;80013;1;1;1
2;0;80013;1;0;0
4;0;80013;1;0;0
0;0;80014;1;0;0
6;0;80014;1;1;0
2;0;80014;0;1;0
1;1;80014;1;1;1
3;0;80015;1;0;0
2;1;80015;1;0;0
0;1;80015;1;0;1
0;1;80015;0;0;0
5;1;80015;0;1;1
1;1;80015;1;1;1
0;0;80015;1;0;0
1;1;80015;1;1;1
3;0;80015;1;1;0
2;0;80015;0;1;0
4;1;80015;0;1;1
